page_name,party,start,stop,spend_estimate,impressions_estimate,platforms,text,link
The Labour Party,Labour,2026-07-17,2026-07-22,2250,225000,"facebook, instagram","Andy Burnham wants to do things differently: problem-solving, not point-scoring; long-term, not short-term; power taken out of Westminster and put into the hands of people and places.

If you agree, add your name and tell us what matters most to you. Andy Burnham wants to do things differently: problem-solving, not point-scoring; long-term, not short-term; power taken out of Westminster and put into the hands of people and places.

If you agree, add your name and tell us what matters most to you. Andy Burnham wants to do things differently: problem-solving, not point-scoring; long-term, not short-term; power taken out of Westminster and put into the hands of people and places.

If you agree, add your name and tell us what matters most to you.",https://www.facebook.com/ads/library/?id=1811660503547958
The Reclaim Party,Reclaim,2026-07-17,2026-07-22,550,137500,"facebook, instagram",🚨 Laurence Fox to stand in the Clacton by-election 🚨,https://www.facebook.com/ads/library/?id=1661097808313324
The Reclaim Party,Reclaim,2026-07-17,2026-07-18,50,12500,"facebook, instagram",🚨 Laurence Fox to stand in the Clacton by-election 🚨,https://www.facebook.com/ads/library/?id=1580151777018273
The Reclaim Party,Reclaim,2026-07-17,2026-07-22,850,137500,"facebook, instagram",🚨 Laurence Fox to stand in the Clacton by-election 🚨,https://www.facebook.com/ads/library/?id=1344854597756724
Green Party of England and Wales,Green,2026-07-15,still running,1750,750000,"facebook, instagram","On July 30th, vote Green to replace Labour and stop Reform. On July 30th, vote Green to replace Labour and stop Reform.",https://www.facebook.com/ads/library/?id=1589535729198718
Green Party of England and Wales,Green,2026-07-15,still running,1250,550000,"facebook, instagram","On July 30th, vote Green to replace Labour and stop Reform. On July 30th, vote Green to replace Labour and stop Reform.",https://www.facebook.com/ads/library/?id=2117588198801921
Green Party of England and Wales,Green,2026-07-15,still running,350,225000,"facebook, instagram","On July 30th, vote Green to replace Labour and stop Reform. On July 30th, vote Green to replace Labour and stop Reform.",https://www.facebook.com/ads/library/?id=2593424207783164
Green Party of England and Wales,Green,2026-07-15,still running,1750,750000,"facebook, instagram","On July 30th, vote Green to replace Labour and stop Reform. On July 30th, vote Green to replace Labour and stop Reform.",https://www.facebook.com/ads/library/?id=1227506749445596
Green Party of England and Wales,Green,2026-07-15,still running,150,85000,"facebook, instagram","On July 30th, vote Green to replace Labour and stop Reform. On July 30th, vote Green to replace Labour and stop Reform.",https://www.facebook.com/ads/library/?id=1309329951188814
Green Party of England and Wales,Green,2026-07-15,still running,350,225000,"facebook, instagram","On July 30th, vote Green to replace Labour and stop Reform. On July 30th, vote Green to replace Labour and stop Reform.",https://www.facebook.com/ads/library/?id=1450600670149260
Green Party of England and Wales,Green,2026-07-15,still running,750,425000,"facebook, instagram","On July 30th, vote Green to replace Labour and stop Reform. On July 30th, vote Green to replace Labour and stop Reform.",https://www.facebook.com/ads/library/?id=1451561446777991
Green Party of England and Wales,Green,2026-07-15,still running,1250,750000,"facebook, instagram","On July 30th, vote Green to replace Labour and stop Reform. On July 30th, vote Green to replace Labour and stop Reform.",https://www.facebook.com/ads/library/?id=1681028453185359
Green Party of England and Wales,Green,2026-07-15,still running,1750,850000,"facebook, instagram","On July 30th, vote Green to replace Labour and stop Reform. On July 30th, vote Green to replace Labour and stop Reform.",https://www.facebook.com/ads/library/?id=878036992044093
The Reclaim Party,Reclaim,2026-07-14,still running,50,8500,"facebook, instagram","Join the movement today and show that you care and want to be counted!  Wear your I❤️🇬🇧 badge to show we are not alone!

Celebrate and project your love of the values that made Britain Great – freedom of speech, the Mother of Parliamentary Democracy, the rule of law, fair play and courtesy.

Every day, those of us who are proud of these attributes feel more and more censored, oppressed, smeared or even cancelled for our views.

It’s not easy or comfortable taking on those out to silence us.

We will only roll back the woke and the politically correct if we demonstrate the size of our community. 💪 Join the movement today and show that you care and want to be counted!  Wear your I❤️🇬🇧 badge to show we are not alone!

Celebrate and project your love of the values that made Britain Great – freedom of speech, the Mother of Parliamentary Democracy, the rule of law, fair play and courtesy.

Every day, those of us who are proud of these attributes feel more and more censored, oppressed, smeared or even cancelled for our views.

It’s not easy or comfortable taking on those out to silence us.

We will only roll back the woke and the politically correct if we demonstrate the size of our community. 💪",https://www.facebook.com/ads/library/?id=1852220419326943
Conservatives,Conservative,2026-07-11,still running,50,4500,"facebook, instagram","🚨Vote for local man Richard Thorne in Cuxton, Halling & Riverside  - the only candidate who actually lives in the ward.",https://www.facebook.com/ads/library/?id=1568906051313108
Conservatives,Conservative,2026-07-06,still running,50,550,"facebook, instagram",🚨BREAKING: Only the Conservatives can stop Reform in the Cuxton by-election on Thursday 23rd July,https://www.facebook.com/ads/library/?id=1744614216984930
Reform UK,Reform UK,2026-06-23,still running,150,32500,"facebook, instagram","Enough of waiting around - Reform is ready for an election and we can deliver radical change.

Sign our petition if you want a General Election.",https://www.facebook.com/ads/library/?id=1902406077136406
Reform UK,Reform UK,2026-06-23,still running,150,32500,"facebook, instagram","Enough of waiting around - Reform is ready for an election and we can deliver radical change.

Sign our petition if you want a General Election.",https://www.facebook.com/ads/library/?id=2262084737869114
Reform UK,Reform UK,2026-06-23,still running,850,650000,facebook,,https://www.facebook.com/ads/library/?id=1361004629232246
Reform UK,Reform UK,2026-05-27,still running,1750,475000,"facebook, instagram",Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported. Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported.,https://www.facebook.com/ads/library/?id=914015365030257
Reform UK,Reform UK,2026-05-27,still running,1750,425000,"facebook, instagram",Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported. Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported.,https://www.facebook.com/ads/library/?id=1535224878195943
Reform UK,Reform UK,2026-05-27,still running,1750,425000,"facebook, instagram",Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported. Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported.,https://www.facebook.com/ads/library/?id=1506902310932166
Reform UK,Reform UK,2026-05-27,still running,1750,425000,"facebook, instagram",Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported. Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported.,https://www.facebook.com/ads/library/?id=1309010163985088
Reform UK,Reform UK,2026-05-27,still running,1750,425000,"facebook, instagram",Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported. Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported.,https://www.facebook.com/ads/library/?id=1910235422971653
The Reclaim Party,Reclaim,2026-05-08,still running,1250,187500,"facebook, instagram","Join the movement today and show that you care and want to be counted!  Wear your I❤️🇬🇧 badge to show we are not alone!

Celebrate and project your love of the values that made Britain Great – freedom of speech, the Mother of Parliamentary Democracy, the rule of law, fair play and courtesy.

Every day, those of us who are proud of these attributes feel more and more censored, oppressed, smeared or even cancelled for our views.

It’s not easy or comfortable taking on those out to silence us.

We will only roll back the woke and the politically correct if we demonstrate the size of our community. 💪 Join the movement today and show that you care and want to be counted!  Wear your I❤️🇬🇧 badge to show we are not alone!

Celebrate and project your love of the values that made Britain Great – freedom of speech, the Mother of Parliamentary Democracy, the rule of law, fair play and courtesy.

Every day, those of us who are proud of these attributes feel more and more censored, oppressed, smeared or even cancelled for our views.

It’s not easy or comfortable taking on those out to silence us.

We will only roll back the woke and the politically correct if we demonstrate the size of our community. 💪 Join the movement today and show that you care and want to be counted!  Wear your I❤️🇬🇧 badge to show we are not alone!

Celebrate and project your love of the values that made Britain Great – freedom of speech, the Mother of Parliamentary Democracy, the rule of law, fair play and courtesy.

Every day, those of us who are proud of these attributes feel more and more censored, oppressed, smeared or even cancelled for our views.

It’s not easy or comfortable taking on those out to silence us.

We will only roll back the woke and the politically correct if we demonstrate the size of our community. 💪 Join the movement today and show that you care and want to be counted!  Wear your I❤️🇬🇧 badge to show we are not alone!

Celebrate and project your love of the values that made Britain Great – freedom of speech, the Mother of Parliamentary Democracy, the rule of law, fair play and courtesy.

Every day, those of us who are proud of these attributes feel more and more censored, oppressed, smeared or even cancelled for our views.

It’s not easy or comfortable taking on those out to silence us.

We will only roll back the woke and the politically correct if we demonstrate the size of our community. 💪",https://www.facebook.com/ads/library/?id=1510503294053829
